09:50:56.760 timestamp,temperature,prediction
09:50:56.760 360000,20.75,23.21
09:56:57.118 720000,20.88,22.53
10:02:56.984 1080000,20.88,22.03
10:08:56.843 1440000,21.00,21.74
10:14:56.714 1800000,21.06,21.54
10:20:57.094 2160000,21.06,21.39
10:26:56.959 2520000,21.19,21.36
10:32:56.833 2880000,21.25,21.34
10:38:57.194 3240000,21.31,21.35
10:44:57.062 3600000,21.31,21.35
10:50:56.926 3960000,21.37,21.38
10:56:57.290 4320000,21.37,21.39
11:02:57.157 4680000,21.50,21.46
11:08:57.027 5040000,21.56,21.50
11:14:56.894 5400000,21.56,21.52
11:20:56.761 5760000,21.62,21.56
11:26:57.122 6120000,21.62,21.58
11:32:56.990 6480000,21.69,21.61
11:38:56.856 6840000,21.75,21.65
11:44:56.725 7200000,21.75,21.66
11:50:57.065 7560000,21.87,21.72
11:56:56.957 7920000,21.87,21.73
12:02:56.822 8280000,21.94,21.76
12:08:57.185 8640000,22.00,21.80
12:14:57.055 9000000,22.06,21.85
12:20:56.919 9360000,22.06,21.86
12:26:56.786 9720000,22.13,21.91
12:32:57.150 10080000,22.13,21.92
12:38:57.024 10440000,22.19,21.96
12:44:56.885 10800000,22.25,22.01
12:50:56.754 11160000,22.25,22.03
12:56:57.122 11520000,22.31,22.07
13:02:56.983 11880000,22.37,22.12
13:08:56.851 12240000,22.37,22.14
13:14:56.722 12600000,22.44,22.19
13:20:57.082 12960000,22.44,22.20
13:26:56.950 13320000,22.50,22.25
13:32:56.821 13680000,22.56,22.29
13:38:56.684 14040000,22.56,22.31
13:44:57.051 14400000,22.62,22.36
13:50:56.911 14760000,22.62,22.38
13:56:56.783 15120000,22.62,22.39
14:02:57.148 15480000,22.69,22.43
14:08:57.014 15840000,22.69,22.44
14:14:56.882 16200000,22.69,22.45
14:20:57.249 16560000,22.75,22.48
14:26:57.109 16920000,22.75,22.49
14:32:56.977 17280000,22.69,22.47
14:38:56.846 17640000,22.75,22.50
14:44:56.714 18000000,22.75,22.50
14:50:56.786 18360000,22.81,22.53
14:56:57.151 18720000,22.75,22.51
15:02:57.016 19080000,22.75,22.51
15:08:56.884 19440000,22.81,22.54
15:14:56.751 19800000,22.81,22.55
15:20:57.114 20160000,22.87,22.58
15:26:56.986 20520000,22.81,22.57
15:32:56.849 20880000,22.87,22.60
15:38:56.728 21240000,22.87,22.62
15:44:57.078 21600000,22.94,22.66
15:50:56.953 21960000,22.94,22.67
15:56:56.818 22320000,23.06,22.74
16:02:56.684 22680000,22.94,22.71
16:08:57.022 23040000,22.94,22.73
16:14:56.897 23400000,23.06,22.79
16:20:56.757 23760000,23.00,22.78
16:26:57.128 24120000,23.00,22.79
16:32:56.983 24480000,23.12,22.86
16:38:56.850 24840000,23.12,22.87
16:44:56.721 25200000,23.06,22.86
16:50:57.076 25560000,23.12,22.89
16:56:56.943 25920000,23.12,22.90
